thread_name,process_name,upid,utid,cpu,ts,dur,end_state
RegSampIdle,/system/bin/surfaceflinger,313,825,1,261340449534460,205037,S
surfaceflinger,/system/bin/surfaceflinger,313,10,3,261340449726273,246216,S
swapper,,0,0,1,261340449739497,97942,R
RegSampIdle,/system/bin/surfaceflinger,313,825,1,261340449837439,29012,S
swapper,,0,0,1,261340449866451,76131,R
RegionSampling,/system/bin/surfaceflinger,313,824,1,261340449942582,38696,S
swapper,,0,0,3,261340449972489,4818685,R
swapper,,0,0,1,261340449981278,4707601,R
decon0_kthread,decon0_kthread,191,6,2,261340451568151,130616,D
swapper,,0,0,2,261340451698767,1952026,R
perf_mon_update,perf_mon_update_client_task,97,113,2,261340453650793,84717,S
swapper,,0,0,2,261340453735510,1243530,R
TimerDispatch,/system/bin/surfaceflinger,313,821,1,261340454688879,114339,S
surfaceflinger,/system/bin/surfaceflinger,313,10,3,261340454791174,1766968,S
kworker/u17:0,kworker/u17:0,745,9,1,261340454803218,110718,I
cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,447,11,1,261340454913936,284017,S
decon0_kthread,decon0_kthread,191,6,2,261340454979040,185995,S
