utid,thread_name,process_name,ts,dur,state,blocked_function
712,android.youtube,com.google.android.youtube,261341938069047,13884278,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341938082434,57699,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341938140133,68197,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341938208330,2783894,S,
13,AudioOut_15,/system/bin/audioserver,261341938330603,102580,R,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341938433183,771444,S,
13,AudioOut_15,/system/bin/audioserver,261341938433183,844116,Running,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341938609615,59815,R,
10,surfaceflinger,/system/bin/surfaceflinger,261341938669430,1766479,S,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341938669430,1847493,Running,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341939204627,72672,R,
13,AudioOut_15,/system/bin/audioserver,261341939277299,35855388,S,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341939277299,180990,Running,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341939458289,35108439,S,
6,decon0_kthread,decon0_kthread,261341939903439,83984,R,
6,decon0_kthread,decon0_kthread,261341939987423,432251,Running,
875,adpf_handler0,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341940056230,363444,R,
3,logd.writer,/system/bin/logd,261341940219072,893799,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341940236650,1116374,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341940270138,48787,R,
4386,GoogleApiHandle,com.android.chrome,261341940278764,91349,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341940318925,51188,Running,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341940370113,17162313,S,
4386,GoogleApiHandle,com.android.chrome,261341940370113,698894,Running,
6,decon0_kthread,decon0_kthread,261341940419674,10175863,D,
875,adpf_handler0,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341940419674,105794,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261341940435909,81014,R,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341940516923,3336914,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341940516923,595948,Running,
875,adpf_handler0,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341940525468,11679362,S,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341940754635,86426,R,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341940841061,198771,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341940992224,76783,R,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341941039832,16998901,S,
4386,GoogleApiHandle,com.android.chrome,261341941069007,612711,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341941069007,284017,Running,
10,surfaceflinger,/system/bin/surfaceflinger,261341941112871,13486165,S,
3,logd.writer,/system/bin/logd,261341941112871,106079,Running,
3,logd.writer,/system/bin/logd,261341941218950,16283854,S,
14,binder:23019_7,com.google.android.youtube,261341941231238,89193,R,
14,binder:23019_7,com.google.android.youtube,261341941320431,398437,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341941353024,14294840,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341941353024,328694,Running,
5138,binder:23019_4,com.google.android.youtube,261341941491044,123983,R,
5238,MediaCodec_loop,com.google.android.youtube,261341941527381,603759,R,
113,perf_mon_update,perf_mon_update_client_task,261341941562944,570923,R,
5138,binder:23019_4,com.google.android.youtube,261341941615027,115601,Running,
5225,CodecLooper,com.google.android.youtube,261341941651852,498860,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341941681718,1608155,S,
4386,GoogleApiHandle,com.android.chrome,261341941681718,379395,Running,
14,binder:23019_7,com.google.android.youtube,261341941718868,16148763,S,
5138,binder:23019_4,com.google.android.youtube,261341941730628,18431600,S,
671,.android.chrome,com.android.chrome,261341941953325,42440,R,
671,.android.chrome,com.android.chrome,261341941995765,87687,Running,
4386,GoogleApiHandle,com.android.chrome,261341942061113,-1,S,
671,.android.chrome,com.android.chrome,261341942083452,-1,S,
5238,MediaCodec_loop,com.google.android.youtube,261341942131140,1333415,Running,
113,perf_mon_update,perf_mon_update_client_task,261341942133867,123738,Running,
5225,CodecLooper,com.google.android.youtube,261341942150712,166464,Running,
113,perf_mon_update,perf_mon_update_client_task,261341942257605,11306600,S,
5225,CodecLooper,com.google.android.youtube,261341942317176,17942464,S,
831,binder:477_4,/system/bin/surfaceflinger,261341943014767,72184,R,
831,binder:477_4,/system/bin/surfaceflinger,261341943086951,260376,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943289873,62011,R,
831,binder:477_4,/system/bin/surfaceflinger,261341943347327,7969889,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943351884,204753,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341943464555,76538,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341943529903,55054,R,
5238,MediaCodec_loop,com.google.android.youtube,261341943541093,136394,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943556637,65470,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341943584957,323161,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943622107,36011,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943658118,151408,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341943677487,84676,S,
5238,MediaCodec_loop,com.google.android.youtube,261341943762163,38859,R,
5238,MediaCodec_loop,com.google.android.youtube,261341943801022,74666,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943809526,14892,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943824418,36337,R,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341943853837,54281,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341943860755,307169,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341943875688,7543335,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341943908118,771769,S,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341943908118,535889,Running,
